Source,Target
76561197963876634,10
76561197963876634,20
76561197963876634,30
76561197963876634,40
76561197963876634,50
76561197963876634,60
76561197963876634,70
76561197963876634,130
76561197963876634,220
76561197963876634,240
76561197963876634,320
76561197963876634,340
76561197963876634,300
76561197963876634,1520
76561197963876634,360
76561197963876634,380
76561197963876634,400
76561197963876634,420
76561197963876634,17140
76561197963876634,500
76561197963876634,15620
76561197963876634,550
76561197963876634,24960
76561197963876634,4920
76561197963876634,42890
76561197963876634,4500
76561197963876634,4520
76561197963876634,4530
76561197963876634,4540
76561197963876634,4550
76561197963876634,4560
76561197963876634,4570
76561197963876634,4580
76561197963876634,9310
76561197963876634,9340
76561197963876634,9400
76561197963876634,9450
76561197963876634,9460
76561197963876634,9480
76561197963876634,20500
76561197963876634,20530
76561197963876634,20540
76561197963876634,20550
76561197963876634,20570
76561197963876634,43100
76561197963876634,43110
76561197963876634,228200
76561197963876634,475150
76561197963876634,667720
76561197963876634,39680
76561197963876634,42910
76561197963876634,65800
76561197963876634,42990
76561197963876634,205790
76561197963876634,203770
76561197963876634,209080
76561197963876634,730
76561197963876634,212680
76561197963876634,34030
76561197963876634,200510
76561197963876634,219640
76561197963876634,11020
76561197963876634,47410
76561197963876634,238960
76561197963876634,233860
76561197963876634,242920
76561197963876634,244850
76561197963876634,252490
76561197963876634,700580
76561197963876634,252950
76561197963876634,263860
76561197963876634,269990
76561197963876634,271240
76561197963876634,222880
76561197963876634,286160
76561197963876634,290300
76561197963876634,294100
76561197963876634,320340
76561197963876634,323190
76561197963876634,324260
76561197963876634,330460
76561197963876634,274940
76561197963876634,310380
76561197963876634,333930
76561197963876634,335830
76561197963876634,346110
76561197963876634,407530
76561197963876634,352430
76561197963876634,344760
76561197963876634,363680
76561197963876634,365360
76561197963876634,243970
76561197963876634,377160
76561197963876634,392110
76561197963876634,394510
76561197963876634,402710
76561197963876634,403190
76561197963876634,418180
76561197963876634,420290
76561197963876634,444560
76561197963876634,365590
76561197963876634,524440
76561197963876634,449140
76561197963876634,454540
76561197963876634,402570
76561197963876634,521790
76561197963876634,8500
76561197963876634,574760
76561197963876634,588430
76561197963876634,446790
76561197963876634,503940
76561197963876634,620590
76561197963876634,834910
76561197963876634,440900
76561197963876634,931180
76561197963876634,905370
76561197963876634,304390
76561197963876634,654310
76561197964893556,10
76561197964893556,80
76561197964893556,100
76561197964893556,240
76561197964893556,2600
76561197964893556,220
76561197964893556,320
76561197964893556,340
76561197964893556,360
76561197964893556,380
76561197964893556,400
76561197964893556,420
76561197964893556,500
76561197964893556,22300
76561197964893556,38400
76561197964893556,38410
76561197964893556,550
76561197964893556,24980
76561197964893556,10680
76561197964893556,8930
76561197964893556,22380
76561197964893556,105600
76561197964893556,28050
76561197964893556,57690
76561197964893556,72850
76561197964893556,201280
76561197964893556,104900
76561197964893556,730
76561197964893556,212680
76561197964893556,201790
76561197964893556,228280
76561197964893556,203160
76561197964893556,233700
76561197964893556,113020
76561197964893556,234650
76561197964893556,233980
76561197964893556,257350
76561197964893556,271590
76561197964893556,290930
76561197964893556,321800
76561197964893556,365720
76561197964893556,377160
76561197964893556,404410
76561197964893556,289070
